control_id,steam_search_title,protagonist,protagonist_clarity,broad_bucket,why_useful_for_archetype_control,preliminary_archetype_seed_note
1,The Witcher 3: Wild Hunt,Geralt of Rivia,fixed_named_single,RPG / action RPG,"Silně definovaný hrdina s dlouhou kontinuitou, morálními volbami a jasnou osobností.",Wanderer / Warrior / Caregiver tension
2,The Witcher 2: Assassins of Kings Enhanced Edition,Geralt of Rivia,fixed_named_single,RPG / action RPG,Stejný protagonista jako kontrola napříč sérií a odlišnými volbami.,Wanderer / Warrior
3,Cyberpunk 2077,V,customizable_but_strong_role,RPG / action RPG,"Avatar je upravitelný, ale má silný dramatický oblouk, vztah k Johnnymu a jasný konflikt identity.",Rebel / Seeker / Shadow
4,Disco Elysium - The Final Cut,Harrier Du Bois,fixed_named_single,narrative RPG,"Extrémně silně charakterizovaný protagonista, vhodný pro archetypy stínu, rozpadu a obnovy.",Wounded detective / Fool / Shadow
5,Planescape: Torment,The Nameless One,fixed_named_single,narrative RPG,"Jedna z nejsilnějších herních postav pro archetyp paměti, viny a identity.",Wanderer / Shadow / Seeker
6,Torment: Tides of Numenera,The Last Castoff,fixed_role_single,narrative RPG,"Jasně definovaná role potomka/odvržené inkarnace, vhodná pro archetyp identity.",Orphan / Seeker
7,Mass Effect Legendary Edition,Commander Shepard,customizable_but_strong_role,RPG / sci-fi,"Upravitelná postava, ale jednoznačný vůdcovský protagonista napříč trilogií.",Hero / Ruler / Protector
8,Mass Effect 2,Commander Shepard,customizable_but_strong_role,RPG / sci-fi,"Dobrá kontrola pro samostatný díl se silným tématem smrti, návratu a loajality.",Returned hero / Leader
9,Mass Effect Andromeda,Ryder,customizable_but_strong_role,RPG / sci-fi,"Jasná hlavní role průzkumníka a nástupce, i přes editovatelnou identitu.",Explorer / Heir
10,Dragon Age II,Hawke,customizable_but_named,RPG / fantasy,"Na rozdíl od mnoha RPG má protagonista pevné jméno, rodinný příběh a městský vzestup/pád.",Survivor / Outsider
11,Deus Ex: Game of the Year Edition,JC Denton,fixed_named_single,immersive sim,"Ikonický protagonista konspirace, transhumanismu a volby mezi systémy.",Seeker / Rebel / Messiah
12,Deus Ex: Human Revolution - Director's Cut,Adam Jensen,fixed_named_single,immersive sim,Silný archetyp augmentovaného člověka a konfliktní identity.,Wounded warrior / Cyborg / Seeker
13,Deus Ex: Mankind Divided,Adam Jensen,fixed_named_single,immersive sim,Pokračující kontrola stejné postavy v odlišném sociálním konfliktu.,Outcast / Investigator
14,Prey,Morgan Yu,customizable_but_strong_role,immersive sim,"Jasně ukotvený protagonista s tématem paměti, experimentu a identity.",Scientist / Seeker / Shadow
15,Dishonored,Corvo Attano,fixed_named_single,immersive sim / stealth,Pomstychtivý ochránce a padlý královský strážce s výrazným morálním rozpětím.,Avenger / Guardian
16,Dishonored 2,Emily Kaldwin / Corvo Attano,fixed_dual,immersive sim / stealth,"Dva jasní protagonisté, oba s královskou a mstivou linkou.",Ruler / Avenger
17,Deathloop,Colt Vahn,fixed_named_single,immersive sim / action,"Silný protagonista smyčky, zapomnění a vzpoury proti systému.",Rebel / Trickster
18,BioShock,Jack,fixed_named_single,narrative FPS,Jasný protagonista s twistem identity a svobodné vůle.,Pawn / Rebel / Orphan
19,BioShock 2,Subject Delta,fixed_role_single,narrative FPS,"Vhodné pro archetyp ochránce, rodičovství a monstrózního těla.",Protector / Monster
20,BioShock Infinite,Booker DeWitt,fixed_named_single,narrative FPS,"Silný protagonista viny, násilí, dluhu a identity.",Fallen hero / Father / Shadow
21,Half-Life,Gordon Freeman,fixed_named_single_silent,FPS,"Tichý, ale jasně identifikovatelný protagonista s výraznou kulturní ikonografií.",Scientist / Accidental hero
22,Half-Life 2,Gordon Freeman,fixed_named_single_silent,FPS,Kontrola tichého protagonisty v mesiášské roli odporu.,Savior / Silent hero
23,Portal,Chell,fixed_named_single_silent,puzzle / sci-fi,"Jasná protagonistka, i když tichá; užitečná kontrola pro minimálně verbalizovanou postavu.",Survivor / Trickster
24,Portal 2,Chell,fixed_named_single_silent,puzzle / sci-fi,Stejná postava ve výraznější vztahové a komické struktuře.,Survivor / Rebel
25,Control Ultimate Edition,Jesse Faden,fixed_named_single,action adventure,"Velmi jasná protagonistka se silnou linkou hledání bratra, moci a instituce.",Seeker / Witch / Ruler
26,Alan Wake,Alan Wake,fixed_named_single,psychological thriller,Spisovatel jako protagonista hororové sebeprojekce a příběhové reality.,Creator / Shadow
27,Quantum Break,Jack Joyce,fixed_named_single,sci-fi action,Protagonista časového zlomu a osobní odpovědnosti.,Accidental hero / Seeker
28,Max Payne,Max Payne,fixed_named_single,noir action,Extrémně jasný noir antihrdina s tématem ztráty a pomsty.,Avenger / Wounded hero
29,Max Payne 2: The Fall of Max Payne,Max Payne,fixed_named_single,noir action,Pokračování stejného antihrdinského archetypu s romanticko-tragickou linkou.,Avenger / Lover
30,Max Payne 3,Max Payne,fixed_named_single,noir action,"Starší, vyhořelá varianta stejného protagonisty vhodná pro proměnu archetypu.",Fallen guardian / Exile
31,Tomb Raider,Lara Croft,fixed_named_single,action adventure,Moderní origin story archetypu přeživší dobrodružky.,Explorer / Survivor
32,Rise of the Tomb Raider,Lara Croft,fixed_named_single,action adventure,Stejná protagonistka ve fázi posedlosti a dědictví.,Explorer / Seeker
