appid,name,has_clear_main_protagonist,protagonist_name,protagonist_type,protagonist_confidence_0_3,primary_archetype,secondary_archetype,tertiary_archetype,archetype_confidence_0_3,archetype_suitability_0_3,shadow_load_0_3,player_projection_0_3,narrative_complexity_0_3,suggested_include_in_final_corpus,exclusion_reason,needs_manual_review,evidence_basis,protagonist_notes,archetype_notes,reason_short,custom_id
1091500,Cyberpunk 2077,yes,V,customizable_but_defined,3,Rebel/Outlaw,Shadow/Antihero,Explorer/Seeker,3,3,3,2,3,yes,none,False,control_seed,Customizable mercenary V has a defined narrative arc and identity crisis.,Anti-corporate outlaw survival story with heavy moral compromise and self-transformation.,Clear defined RPG protagonist.,steam-v003-chunk-00001-rows-1-50
292030,The Witcher 3: Wild Hunt,yes,Geralt of Rivia,fixed_named_single,3,Hero/Warrior,Shadow/Antihero,Caregiver/Guardian,3,3,2,1,3,yes,none,False,control_seed,"Geralt is a fixed, named monster hunter with strong characterization.",Warrior-protector with antiheroic pragmatism and paternal devotion to Ciri.,Iconic fixed protagonist.,steam-v003-chunk-00001-rows-1-50
1174180,Red Dead Redemption 2,yes,Arthur Morgan,fixed_named_single,3,Shadow/Antihero,Rebel/Outlaw,Hero/Warrior,3,3,3,1,3,yes,none,False,control_seed,Arthur Morgan is the central fixed protagonist of the main story.,Outlaw antihero undergoing moral reckoning and possible redemption.,Strong narrative protagonist.,steam-v003-chunk-00001-rows-1-50
620,Portal 2,yes,Chell,silent_fixed_protagonist,3,Everyman/Orphan,Explorer/Seeker,Hero/Warrior,2,2,0,2,2,yes,none,False,control_seed,Chell is a fixed but silent test subject.,An isolated survivor escaping and navigating hostile experiments.,Clear silent protagonist.,steam-v003-chunk-00001-rows-1-50
367520,Hollow Knight,yes,The Knight,nonhuman_fixed_protagonist,3,Explorer/Seeker,Hero/Warrior,Innocent,2,3,1,2,2,yes,none,False,control_seed,"The Knight is a fixed, silent, nonhuman vessel.",Mythic wanderer uncovering a ruined kingdom and fulfilling a heroic burden.,Usable symbolic protagonist.,steam-v003-chunk-00001-rows-1-50
1145360,Hades,yes,Zagreus,fixed_named_single,3,Rebel/Outlaw,Explorer/Seeker,Lover,3,3,1,1,3,yes,none,False,control_seed,"Zagreus is a fixed, named protagonist attempting repeated escape.",Defies paternal rule to seek family truth and connection.,Clear mythic protagonist.,steam-v003-chunk-00001-rows-1-50
391540,Undertale,yes,Frisk,silent_fixed_protagonist,3,Innocent,Everyman/Orphan,Shadow/Antihero,2,3,2,3,3,yes,none,True,control_seed,"Frisk is a fixed child avatar, but player route strongly changes interpretation.",Innocent child-survivor can become compassionate or destructive depending on route.,Clear but route-dependent protagonist.,steam-v003-chunk-00001-rows-1-50
203160,Tomb Raider Game of the Year,yes,Lara Croft,fixed_named_single,3,Explorer/Seeker,Hero/Warrior,Sage/Investigator,3,3,1,1,2,yes,none,False,control_seed,"Lara Croft is a fixed, named adventure protagonist.",Origin-story survivor becomes explorer-warrior through ordeal.,Clear fixed protagonist.,steam-v003-chunk-00001-rows-1-50
220,Half-Life 2,yes,Gordon Freeman,silent_fixed_protagonist,3,Hero/Warrior,Sage/Investigator,Everyman/Orphan,2,2,0,3,2,yes,none,False,control_seed,"Gordon Freeman is fixed and named, though silent.",Scientist cast as resistance hero and unlikely savior.,Clear silent protagonist.,steam-v003-chunk-00001-rows-1-50
268910,Cuphead,yes,Cuphead,nonhuman_fixed_protagonist,3,Jester/Trickster,Rebel/Outlaw,Hero/Warrior,3,3,1,1,1,yes,none,False,control_seed,Cuphead is a fixed cartoon protagonist; Mugman may appear in co-op.,Impulsive trickster whose reckless deal forces heroic combat trials.,Clear stylized protagonist.,steam-v003-chunk-00001-rows-1-50
400,Portal,yes,Chell,silent_fixed_protagonist,3,Everyman/Orphan,Explorer/Seeker,Hero/Warrior,2,2,0,2,1,yes,none,False,control_seed,Chell is a fixed silent test subject.,Ordinary captive survives trials and escapes an oppressive system.,Clear silent protagonist.,steam-v003-chunk-00001-rows-1-50
379430,Kingdom Come: Deliverance,yes,Henry,fixed_named_single,3,Everyman/Orphan,Hero/Warrior,Explorer/Seeker,3,3,1,2,3,yes,none,False,control_seed,Henry is a fixed blacksmith's son with RPG progression.,Ordinary orphaned survivor grows into a martial agent of justice.,Clear defined protagonist.,steam-v003-chunk-00001-rows-1-50
1593500,God of War,yes,Kratos / Atreus,fixed_dual,3,Caregiver/Guardian,Shadow/Antihero,Hero/Warrior,3,3,3,1,3,yes,none,False,control_seed,"Kratos is primary playable, with Atreus central to the dual arc.","A violent former god reframed through fatherhood, protection, and restraint.",Strong father-son protagonist arc.,steam-v003-chunk-00001-rows-1-50
1332010,Stray,yes,Cat,nonhuman_fixed_protagonist,3,Explorer/Seeker,Innocent,Caregiver/Guardian,2,3,0,2,2,yes,none,False,control_seed,The cat is a fixed nonhuman protagonist.,Animal wanderer explores a lost city and helps liberate trapped beings.,Clear nonhuman protagonist.,steam-v003-chunk-00001-rows-1-50
70,Half-Life,yes,Gordon Freeman,silent_fixed_protagonist,3,Hero/Warrior,Sage/Investigator,Everyman/Orphan,2,2,0,3,1,yes,none,False,control_seed,Gordon Freeman is a fixed silent scientist-protagonist.,Scientist-survivor becomes action hero during the Black Mesa disaster.,Clear silent protagonist.,steam-v003-chunk-00001-rows-1-50
8870,BioShock Infinite,yes,Booker DeWitt,fixed_named_single,3,Shadow/Antihero,Caregiver/Guardian,Hero/Warrior,3,3,3,1,3,yes,none,False,control_seed,"Booker DeWitt is a fixed, named protagonist.",Haunted violent antihero whose rescue mission reveals guilt and identity fractures.,Clear complex protagonist.,steam-v003-chunk-00001-rows-1-50
524220,NieR:Automata,yes,2B / 9S / A2,fixed_ensemble,3,Shadow/Antihero,Explorer/Seeker,Hero/Warrior,2,3,3,1,3,yes,none,True,control_seed,Multiple fixed android protagonists share central narrative roles.,"Identity-seeking soldiers confront trauma, cycles of violence, and existential collapse.",Clear ensemble but archetypes vary.,steam-v003-chunk-00001-rows-1-50
1057090,Ori and the Will of the Wisps,yes,Ori,nonhuman_fixed_protagonist,3,Innocent,Caregiver/Guardian,Hero/Warrior,3,3,0,1,2,yes,none,False,control_seed,Ori is a fixed spirit protagonist.,Pure spirit-being protects loved ones and heals a wounded world.,Clear nonhuman protagonist.,steam-v003-chunk-00001-rows-1-50
391220,Rise of the Tomb Raider,yes,Lara Croft,fixed_named_single,3,Explorer/Seeker,Hero/Warrior,Sage/Investigator,3,3,1,1,2,yes,none,False,control_seed,"Lara Croft is a fixed, named protagonist.","Driven by discovery, archaeology, and survival combat.",Clear fixed protagonist.,steam-v003-chunk-00001-rows-1-50
1151640,Horizon Zero Dawn Complete Edition,yes,Aloy,fixed_named_single,3,Explorer/Seeker,Sage/Investigator,Hero/Warrior,3,3,1,1,3,yes,none,False,control_seed,"Aloy is a fixed, named protagonist.",Outcast seeker investigates her origins and saves the world through knowledge and combat.,Clear story protagonist.,steam-v003-chunk-00001-rows-1-50
504230,Celeste,yes,Madeline,fixed_named_single,3,Explorer/Seeker,Everyman/Orphan,Hero/Warrior,3,3,2,1,3,yes,none,False,control_seed,"Madeline is a fixed, named protagonist.","A personal mountain climb externalizes anxiety, identity, and self-acceptance.",Clear psychological protagonist.,steam-v003-chunk-00001-rows-1-50
1817070,Marvel’s Spider-Man Remastered,yes,Peter Parker,fixed_named_single,3,Hero/Warrior,Caregiver/Guardian,Everyman/Orphan,3,3,1,1,2,yes,none,False,control_seed,"Peter Parker is the fixed protagonist, with brief supporting playable segments.","Classic heroic protector balancing ordinary life, responsibility, and loss.",Clear superhero protagonist.,steam-v003-chunk-00001-rows-1-50
632470,Disco Elysium - The Final Cut,yes,Harrier Du Bois,customizable_but_defined,3,Sage/Investigator,Shadow/Antihero,Everyman/Orphan,3,3,3,2,3,yes,none,False,control_seed,Harrier is fixed in identity but highly build- and choice-customizable.,"Broken detective seeks truth while confronting addiction, shame, and ideology.",Highly suitable defined RPG protagonist.,steam-v003-chunk-00001-rows-1-50
1687950,Persona 5 Royal,yes,Joker / Ren Amamiya,silent_fixed_protagonist,3,Rebel/Outlaw,Ruler/Leader,Hero/Warrior,3,3,1,2,3,yes,none,False,control_seed,Joker is a mostly silent but narratively defined leader-protagonist.,Masked rebel leads phantom thieves against corrupt authority.,Clear defined silent protagonist.,steam-v003-chunk-00001-rows-1-50
1259420,Days Gone,yes,Deacon St. John,fixed_named_single,3,Shadow/Antihero,Lover,Hero/Warrior,3,3,3,1,2,yes,none,False,control_seed,"Deacon St. John is a fixed, named biker-survivor protagonist.","Traumatized drifter driven by grief, survival, and devotion to his wife.",Clear fixed protagonist.,steam-v003-chunk-00001-rows-1-50
1030840,Mafia: Definitive Edition,yes,Tommy Angelo,fixed_named_single,3,Shadow/Antihero,Everyman/Orphan,Rebel/Outlaw,3,3,3,1,2,yes,none,False,control_seed,Tommy Angelo is a fixed criminal-life narrative protagonist.,Ordinary cab driver drawn into organized crime and moral compromise.,Clear fixed protagonist.,steam-v003-chunk-00001-rows-1-50
383870,Firewatch,yes,Henry,fixed_named_single,3,Everyman/Orphan,Explorer/Seeker,Shadow/Antihero,3,3,2,1,3,yes,none,False,control_seed,Henry is a fixed first-person protagonist with a defined backstory.,Ordinary man fleeing grief and guilt while investigating wilderness mysteries.,Clear narrative protagonist.,steam-v003-chunk-00001-rows-1-50
20920,The Witcher 2: Assassins of Kings Enhanced Edition,yes,Geralt of Rivia,fixed_named_single,3,Hero/Warrior,Shadow/Antihero,Sage/Investigator,3,3,2,1,3,yes,none,False,control_seed,"Geralt is a fixed, named protagonist.",Monster-slayer and political investigator with pragmatic antihero traits.,Clear fixed protagonist.,steam-v003-chunk-00001-rows-1-50
205100,Dishonored,yes,Corvo Attano,silent_fixed_protagonist,3,Shadow/Antihero,Caregiver/Guardian,Hero/Warrior,3,3,3,2,3,yes,none,False,control_seed,"Corvo is fixed and named, largely silent in the first game.",Framed protector pursues revenge or mercy while safeguarding Emily.,Clear choice-shaped protagonist.,steam-v003-chunk-00001-rows-1-50
