appid,name,refined_tier,refined_reason,primary_terms,support_terms,broad_terms,primary_term_count,support_term_count,hit_tracked_term_count,possible_tagspam,total_ratings_pos_neg,positive_ratio,steamspy_owners,steamspy_genre,steamspy_top_tags,steamspy_top_tags_with_scores,want_details,candidate_reason,bucket,matched_terms,relevance_score,reaction_rank,steamspy_positive,steamspy_negative,steamspy_owners_midpoint,steamspy_tags,steamspy_hit_terms,steam_catalog_name,steamspy_name,last_modified,price_change_number,steam_catalog_source,steam_catalog_fetched_at,steamspy_developer,steamspy_publisher,steamspy_userscore,steamspy_score_rank,steamspy_average_forever,steamspy_median_forever,steamspy_price,steamspy_initialprice,steamspy_discount,steamspy_ccu,steamspy_languages,steamspy_hit_types,is_term_match,forced_include,candidate_by_term_and_reactions,candidate_by_popular_fallback,broad_term_count
926580,Broken Lines,A_core_strong,>=2 primary top-tag signals and reactions>=500,Action RPG; Character Customization; Choices Matter; Lovecraftian; Multiple Endings; Mystery; Party-Based RPG; Story Rich; Strategy RPG; Survival Horror; Tactical RPG,,,11,0,28,True,682,0.7873900293255132,"50,000 .. 100,000",,,,True,term_match+reactions>=500,narrative/protagonist-heavy,Action; Action-Adventure; Action RPG; Adventure; Character Customization; Choices Matter; First-Person; FPS; Grand Strategy; Horror; Lovecraftian; Multiple Endings; Mystery; Open World; Party-Based RPG; RPG; RTS; Sandbox; Shooter; Simulation; Singleplayer; Story Rich; Strategy; Strategy RPG; Survival; Survival Horror; Tactical RPG; Third Person; Third-Person Shooter; Zombies,61,9278,537,145,75000.0,,Strategy; Action; Action RPG; Action-Adventure; Adventure; Character Customization; Choices Matter; FPS; First-Person; Grand Strategy; Horror; Lovecraftian; Multiple Endings; Mystery; Open World; Party-Based RPG; RPG; RTS; Sandbox; Shooter; Simulation; Singleplayer; Story Rich; Strategy RPG; Survival; Survival Horror; Tactical RPG; Third Person; Third-Person Shooter; Zombies,Broken Lines,Broken Lines,1725440133.0,35345245.0,IStoreService/GetAppList,2026-06-20T18:38:37.448689+00:00,BirdIsland/PortaPlay,SuperGG.com,0.0,,0.0,0.0,2499.0,2499.0,0.0,1.0,,genre; tag,True,False,True,False,0
362930,Garfield Kart,A_core_strong,>=2 primary top-tag signals and reactions>=500,Action RPG; Character Customization; Choices Matter; Choose Your Own Adventure; Female Protagonist; JRPG; Lore-Rich; Lovecraftian; Story Rich; Survival Horror; Walking Simulator,,,11,0,26,True,14059,0.8766626360338573,"500,000 .. 1,000,000",,,,True,term_match+reactions>=500; popular_fallback_top2500_or_reactions>=5000,narrative/protagonist-heavy,Action; Action RPG; Adventure; Character Customization; Choices Matter; Choose Your Own Adventure; Female Protagonist; FPS; God Game; Grand Strategy; Horror; JRPG; Lore-Rich; Lovecraftian; Open World; Platformer; RPG; Sandbox; Shooter; Simulation; Singleplayer; Story Rich; Strategy; Survival; Survival Horror; Third-Person Shooter; Walking Simulator,57,1381,12325,1734,750000.0,,Action; Action RPG; Adventure; Character Customization; Choices Matter; Choose Your Own Adventure; FPS; Female Protagonist; God Game; Grand Strategy; Horror; JRPG; Lore-Rich; Lovecraftian; Open World; Platformer; RPG; Sandbox; Shooter; Simulation; Singleplayer; Story Rich; Strategy; Survival; Survival Horror; Third-Person Shooter; Walking Simulator,Garfield Kart,Garfield Kart,1750323352.0,36596532.0,IStoreService/GetAppList,2026-06-20T18:38:37.448689+00:00,Artefacts Studio,Microids,0.0,,0.0,0.0,499.0,499.0,0.0,44.0,,tag,True,False,True,True,0
1184370,Pathfinder: Wrath of the Righteous - Enhanced Edition,A_core_strong,>=2 primary top-tag signals and reactions>=500,Action RPG; Character Customization; Choices Matter; Choose Your Own Adventure; Conversation; CRPG; Female Protagonist; Lore-Rich; Multiple Endings; Mystery; Party-Based RPG; Story Rich; Tactical RPG,,,13,0,23,True,38496,0.8391261429758936,"2,000,000 .. 5,000,000",,,,True,term_match+reactions>=500; popular_fallback_top2500_or_reactions>=5000,narrative/protagonist-heavy,Action; Action RPG; Adventure; Character Customization; Choices Matter; Choose Your Own Adventure; Conversation; CRPG; Female Protagonist; Lore-Rich; Multiple Endings; Mystery; Open World; Party-Based RPG; RPG; Singleplayer; Stealth; Story Rich; Strategy; Survival; Tactical RPG; Third Person; Turn-Based Strategy,55,584,32303,6193,3500000.0,,Action; Adventure; RPG; Strategy; Action RPG; CRPG; Character Customization; Choices Matter; Choose Your Own Adventure; Conversation; Female Protagonist; Lore-Rich; Multiple Endings; Mystery; Open World; Party-Based RPG; Singleplayer; Stealth; Story Rich; Survival; Tactical RPG; Third Person; Turn-Based Strategy,Pathfinder: Wrath of the Righteous - Enhanced Edition,Pathfinder: Wrath of the Righteous - Enhanced Edition,1781096468.0,36200013.0,IStoreService/GetAppList,2026-06-20T18:38:37.448689+00:00,Owlcat Games,"META Publishing, Owlcat Games",0.0,,0.0,0.0,1999.0,1999.0,0.0,1874.0,,genre; tag,True,False,True,True,0
1448000,迷离诡夜 blurred weird night,D_popular_control_candidate,popular/control pool only; not enough core signals,Choose Your Own Adventure; CRPG; Immersive Sim; Interactive Fiction; Lore-Rich; Multiple Endings; Story Rich; Survival Horror; Visual Novel; Walking Simulator,,,10,0,22,True,293,0.8293515358361775,"0 .. 20,000",,,,False,,narrative/protagonist-heavy,Action; Action-Adventure; Adventure; Choose Your Own Adventure; CRPG; First-Person; FPS; Horror; Immersive Sim; Interactive Fiction; Lore-Rich; Multiple Endings; Open World; RPG; Sandbox; Shooter; Simulation; Singleplayer; Stealth; Story Rich; Survival Horror; Visual Novel; Walking Simulator; Zombies,46,14319,243,50,10000.0,,Action; Adventure; Action-Adventure; CRPG; Choose Your Own Adventure; FPS; First-Person; Horror; Immersive Sim; Interactive Fiction; Lore-Rich; Multiple Endings; Open World; RPG; Sandbox; Shooter; Simulation; Singleplayer; Stealth; Story Rich; Survival Horror; Visual Novel; Walking Simulator; Zombies,迷离诡夜 blurred weird night,迷离诡夜 blurred weird night,1781822584.0,36552082.0,IStoreService/GetAppList,2026-06-20T18:38:37.448689+00:00,QSN,QSN,0.0,,0.0,0.0,799.0,799.0,0.0,3.0,,genre; tag,True,False,False,False,0
1336490,Against the Storm,A_core_strong,>=2 primary top-tag signals and reactions>=500,Character Customization; Choices Matter; CRPG; Political Sim; Story Rich,,,5,0,21,True,31412,0.9498599261428752,"500,000 .. 1,000,000",,,,True,term_match+reactions>=500; popular_fallback_top2500_or_reactions>=5000,narrative/protagonist-heavy,4X; Action; Adventure; Character Customization; Choices Matter; City Builder; Colony Sim; CRPG; Grand Strategy; Management; Open World; Political Sim; RPG; RTS; Sandbox; Simulation; Singleplayer; Stealth; Story Rich; Strategy; Survival,46,691,29837,1575,750000.0,,Simulation; Strategy; 4X; Action; Adventure; CRPG; Character Customization; Choices Matter; City Builder; Colony Sim; Grand Strategy; Management; Open World; Political Sim; RPG; RTS; Sandbox; Singleplayer; Stealth; Story Rich; Survival,Against the Storm,Against the Storm,1781716962.0,36448311.0,IStoreService/GetAppList,2026-06-20T18:38:37.448689+00:00,Eremite Games,Hooded Horse,0.0,,0.0,0.0,2999.0,2999.0,0.0,958.0,,genre; tag,True,False,True,True,0
2186680,"Warhammer 40,000: Rogue Trader",A_core_strong,>=2 primary top-tag signals and reactions>=500,Action RPG; Character Customization; Choices Matter; Choose Your Own Adventure; CRPG; Female Protagonist; Interactive Fiction; Lore-Rich; Multiple Endings; Mystery; Party-Based RPG; Story Rich; Strategy RPG; Tactical RPG,,,14,0,21,True,30805,0.855705242655413,"10,000,000 .. 20,000,000",,,,True,term_match+reactions>=500; popular_fallback_top2500_or_reactions>=5000,narrative/protagonist-heavy,Action; Action RPG; Adventure; Character Customization; Choices Matter; Choose Your Own Adventure; CRPG; Female Protagonist; Interactive Fiction; Lore-Rich; Multiple Endings; Mystery; Open World; Party-Based RPG; RPG; Singleplayer; Story Rich; Strategy; Strategy RPG; Tactical RPG; Turn-Based Strategy,53,710,26360,4445,15000000.0,,Action; Adventure; RPG; Strategy; Action RPG; CRPG; Character Customization; Choices Matter; Choose Your Own Adventure; Female Protagonist; Interactive Fiction; Lore-Rich; Multiple Endings; Mystery; Open World; Party-Based RPG; Singleplayer; Story Rich; Strategy RPG; Tactical RPG; Turn-Based Strategy,"Warhammer 40,000: Rogue Trader","Warhammer 40,000: Rogue Trader",1781198086.0,36172547.0,IStoreService/GetAppList,2026-06-20T18:38:37.448689+00:00,Owlcat Games,Owlcat Games,0.0,,0.0,0.0,4999.0,4999.0,0.0,3582.0,,genre; tag,True,False,True,True,0
242760,The Forest,A_core_strong,>=2 primary top-tag signals and reactions>=500,Female Protagonist; JRPG; Story Rich; Strategy RPG; Survival Horror; Tactical RPG,,,6,0,20,True,627791,0.9554214698840856,"20,000,000 .. 50,000,000",,,,True,term_match+reactions>=500; popular_fallback_top2500_or_reactions>=5000,narrative/protagonist-heavy,Action; Adventure; Female Protagonist; First-Person; FPS; Horror; JRPG; Open World; RPG; Sandbox; Simulation; Singleplayer; Story Rich; Strategy; Strategy RPG; Survival; Survival Horror; Tactical RPG; Third Person; Turn-Based Strategy; Zombies,40,28,599805,27986,35000000.0,,Action; Adventure; Simulation; FPS; Female Protagonist; First-Person; Horror; JRPG; Open World; RPG; Sandbox; Singleplayer; Story Rich; Strategy; Strategy RPG; Survival; Survival Horror; Tactical RPG; Third Person; Turn-Based Strategy; Zombies,The Forest,The Forest,1699381053.0,36506723.0,IStoreService/GetAppList,2026-06-20T18:38:37.448689+00:00,Endnight Games Ltd,Endnight Games Ltd,0.0,,0.0,0.0,1999.0,1999.0,0.0,2892.0,,genre; tag,True,False,True,True,0
605740,"Flashing Lights - Police, Firefighting, Emergency Services (EMS) Simulator",A_core_strong,>=2 primary top-tag signals and reactions>=500,Action RPG; Character Customization; Detective; Female Protagonist; Immersive Sim; Investigation; Survival Horror,,,7,0,20,True,16963,0.8068148322820256,"500,000 .. 1,000,000",,,,True,term_match+reactions>=500; popular_fallback_top2500_or_reactions>=5000,narrative/protagonist-heavy,Action; Action RPG; Adventure; Character Customization; Detective; Female Protagonist; First-Person; FPS; Immersive Sim; Investigation; Management; Open World; RPG; Sandbox; Shooter; Simulation; Singleplayer; Survival Horror; Third Person; Third-Person Shooter,37,1182,13686,3277,750000.0,,Action; RPG; Simulation; Action RPG; Adventure; Character Customization; Detective; FPS; Female Protagonist; First-Person; Immersive Sim; Investigation; Management; Open World; Sandbox; Shooter; Singleplayer; Survival Horror; Third Person; Third-Person Shooter,"Flashing Lights - Police, Firefighting, Emergency Services (EMS) Simulator","Flashing Lights - Police, Firefighting, Emergency Services (EMS) Simulator",1781528176.0,36475788.0,IStoreService/GetAppList,2026-06-20T18:38:37.448689+00:00,Nils Jakrins,Excalibur Games,0.0,,0.0,0.0,2499.0,2499.0,0.0,311.0,,genre; tag,True,False,True,True,0
611790,House Party,A_core_strong,>=2 primary top-tag signals and reactions>=500,Character Customization; Choices Matter; Choose Your Own Adventure; Female Protagonist; Immersive Sim; Multiple Endings; Story Rich; Walking Simulator,,,8,0,20,True,14988,0.8621563917800907,"1,000,000 .. 2,000,000",,,,True,term_match+reactions>=500; popular_fallback_top2500_or_reactions>=5000,narrative/protagonist-heavy,Adventure; Character Customization; Choices Matter; Choose Your Own Adventure; Female Protagonist; First-Person; FPS; Horror; Immersive Sim; Multiple Endings; Open World; RPG; Sandbox; Shooter; Simulation; Singleplayer; Story Rich; Strategy; Survival; Walking Simulator,44,1309,12922,2066,1500000.0,,Adventure; RPG; Simulation; Character Customization; Choices Matter; Choose Your Own Adventure; FPS; Female Protagonist; First-Person; Horror; Immersive Sim; Multiple Endings; Open World; Sandbox; Shooter; Singleplayer; Story Rich; Strategy; Survival; Walking Simulator,House Party,House Party,1771516030.0,35942703.0,IStoreService/GetAppList,2026-06-20T18:38:37.448689+00:00,"Eek! Games, LLC","Eek! Games, LLC",0.0,,0.0,0.0,2499.0,2499.0,0.0,205.0,,genre; tag,True,False,True,True,0
420110,NEKOPARA Vol. 2,A_core_strong,>=2 primary top-tag signals and reactions>=500,Female Protagonist; Story Rich; Survival Horror; Visual Novel; Walking Simulator,,,5,0,20,True,12598,0.9701539926972536,"500,000 .. 1,000,000",,,,True,term_match+reactions>=500; popular_fallback_top2500_or_reactions>=5000,narrative/protagonist-heavy,Action; Adventure; Female Protagonist; First-Person; FPS; Horror; Open World; Platformer; RPG; Shooter; Simulation; Singleplayer; Stealth; Story Rich; Strategy; Survival; Survival Horror; Third-Person Shooter; Visual Novel; Walking Simulator; Zombies,37,1496,12222,376,750000.0,,Action; Adventure; FPS; Female Protagonist; First-Person; Horror; Open World; Platformer; RPG; Shooter; Simulation; Singleplayer; Stealth; Story Rich; Strategy; Survival; Survival Horror; Third-Person Shooter; Visual Novel; Walking Simulator; Zombies,NEKOPARA Vol. 2,NEKOPARA Vol. 2,1656892360.0,35968346.0,IStoreService/GetAppList,2026-06-20T18:38:37.448689+00:00,NEKO WORKs,Sekai Project,0.0,,0.0,0.0,999.0,999.0,0.0,14.0,,tag,True,False,True,True,0
