control_id,steam_search_title,protagonist,protagonist_clarity,broad_bucket,why_useful_for_archetype_control,preliminary_archetype_seed_note,matched_appid,matched_name,match_score,in_refined_v2,refined_v2_rank
1,The Witcher 3: Wild Hunt,Geralt of Rivia,fixed_named_single,RPG / action RPG,"Silně definovaný hrdina s dlouhou kontinuitou, morálními volbami a jasnou osobností.",Wanderer / Warrior / Caregiver tension,292030,The Witcher 3: Wild Hunt,1.0,True,869.0
2,The Witcher 2: Assassins of Kings Enhanced Edition,Geralt of Rivia,fixed_named_single,RPG / action RPG,Stejný protagonista jako kontrola napříč sérií a odlišnými volbami.,Wanderer / Warrior,20920,The Witcher 2: Assassins of Kings Enhanced Edition,1.0,True,696.0
4,Disco Elysium - The Final Cut,Harrier Du Bois,fixed_named_single,narrative RPG,"Extrémně silně charakterizovaný protagonista, vhodný pro archetypy stínu, rozpadu a obnovy.",Wounded detective / Fool / Shadow,632470,Disco Elysium - The Final Cut,1.0,True,93.0
5,Planescape: Torment,The Nameless One,fixed_named_single,narrative RPG,"Jedna z nejsilnějších herních postav pro archetyp paměti, viny a identity.",Wanderer / Shadow / Seeker,466300,Planescape: Torment: Enhanced Edition,1.0,True,541.0
6,Torment: Tides of Numenera,The Last Castoff,fixed_role_single,narrative RPG,"Jasně definovaná role potomka/odvržené inkarnace, vhodná pro archetyp identity.",Orphan / Seeker,272270,Torment: Tides of Numenera,1.0,True,255.0
7,Mass Effect Legendary Edition,Commander Shepard,customizable_but_strong_role,RPG / sci-fi,"Upravitelná postava, ale jednoznačný vůdcovský protagonista napříč trilogií.",Hero / Ruler / Protector,1328670,Mass Effect Legendary Edition,1.0,True,576.0
8,Mass Effect 2,Commander Shepard,customizable_but_strong_role,RPG / sci-fi,"Dobrá kontrola pro samostatný díl se silným tématem smrti, návratu a loajality.",Returned hero / Leader,17460,Mass Effect (2007),0.896551724137931,True,704.0
9,Mass Effect Andromeda,Ryder,customizable_but_strong_role,RPG / sci-fi,"Jasná hlavní role průzkumníka a nástupce, i přes editovatelnou identitu.",Explorer / Heir,1238000,Mass Effect: Andromeda Deluxe Edition,0.8571428571428571,True,703.0
10,Dragon Age II,Hawke,customizable_but_named,RPG / fantasy,"Na rozdíl od mnoha RPG má protagonista pevné jméno, rodinný příběh a městský vzestup/pád.",Survivor / Outsider,1238040,Dragon Age II: Ultimate Edition,1.0,True,206.0
15,Dishonored,Corvo Attano,fixed_named_single,immersive sim / stealth,Pomstychtivý ochránce a padlý královský strážce s výrazným morálním rozpětím.,Avenger / Guardian,205100,Dishonored,1.0,True,1075.0
18,BioShock,Jack,fixed_named_single,narrative FPS,Jasný protagonista s twistem identity a svobodné vůle.,Pawn / Rebel / Orphan,409710,BioShock Remastered,1.0,True,1077.0
27,Quantum Break,Jack Joyce,fixed_named_single,sci-fi action,Protagonista časového zlomu a osobní odpovědnosti.,Accidental hero / Seeker,474960,Quantum Break,1.0,True,946.0
29,Max Payne 2: The Fall of Max Payne,Max Payne,fixed_named_single,noir action,Pokračování stejného antihrdinského archetypu s romanticko-tragickou linkou.,Avenger / Lover,12150,Max Payne 2: The Fall of Max Payne,1.0,True,1216.0
56,Persona 5 Royal,Joker / Ren Amamiya,fixed_role_single,JRPG,Silný vůdce rebelů a zlodějských masek; jméno částečně kanonizované mimo hru.,Trickster / Rebel / Leader,1687950,Persona 5 Royal,1.0,True,246.0
57,Persona 4 Golden,Yu Narukami / protagonist,fixed_role_single,JRPG,"Tichý, ale jasně centrální protagonista vyšetřovací skupiny.",Investigator / Everyman,1113000,Persona 4 Golden,1.0,True,136.0
65,Undertale,Frisk,fixed_role_single,RPG,"Minimalistický, ale centrální protagonista volby mezi násilím a soucitem.",Innocent / Trickster / Judge,391540,Undertale,1.0,True,812.0
66,OMORI,Sunny / Omori,fixed_dual_aspect,psychological RPG,"Silně archetypální dvojí identita, trauma a vnitřní svět.",Shadow self / Wounded child,1150690,OMORI,1.0,True,813.0
67,Oxenfree,Alex,fixed_named_single,narrative adventure,"Jasná protagonistka dospívání, viny a nadpřirozené komunikace.",Teen seeker / Wounded mediator,388880,Oxenfree,1.0,True,532.0
68,Night in the Woods,Mae Borowski,fixed_named_single,narrative adventure,"Silně charakterizovaná protagonistka návratu domů, deprese a outsiderství.",Outsider / Wounded child,481510,Night in the Woods,1.0,True,112.0
70,What Remains of Edith Finch,Edith Finch,fixed_named_single,walking simulator,Protagonistka rodinné paměti a dědictví; jasný rámec vypravěčky.,Witness / Keeper of memory,501300,What Remains of Edith Finch,1.0,True,1038.0
71,Gone Home,Kaitlin Greenbriar,fixed_named_single,walking simulator,Jasná vyšetřující protagonistka domácí paměti a návratu.,Returner / Investigator,232430,Gone Home,1.0,True,950.0
72,The Stanley Parable: Ultra Deluxe,Stanley,fixed_named_single,metanarrative,Jasný protagonista i přes metatextovost; vhodný pro archetyp ovládaného avatara.,Everyman / Pawn / Rebel,1703340,The Stanley Parable: Ultra Deluxe,1.0,True,639.0
75,Hollow Knight,The Knight,fixed_role_single_silent,metroidvania,"Tichý, ale jasně centrální hrdina; vhodný pro archetyp prázdnoty a oběti.",Empty vessel / Sacrifice,367520,Hollow Knight,1.0,True,1072.0
89,Return to Monkey Island,Guybrush Threepwood,fixed_named_single,adventure,Jasný komediální dobrodruh a aspirující pirát.,Fool / Trickster / Explorer,2060130,Return to Monkey Island,1.0,True,1179.0
93,Kathy Rain,Kathy Rain,fixed_named_single,detective adventure,Jasná detektivní protagonistka rodinného tajemství a rebelství.,Investigator / Rebel,370910,Kathy Rain,1.0,True,122.0
94,Sherlock Holmes: Crimes and Punishments,Sherlock Holmes,fixed_named_single,detective adventure,Extrémně jasný vyšetřovatelský archetyp.,Sage / Investigator,241260,Sherlock Holmes: Crimes and Punishments,1.0,True,371.0
95,The Thaumaturge,Wiktor Szulski,fixed_named_single,RPG / mystery,"Jasný protagonista okultního vyšetřování, traumatu a rodinné minulosti.",Occult investigator / Shadow,1684350,The Thaumaturge,1.0,True,2.0
96,Vampyr,Jonathan Reid,fixed_named_single,action RPG,Lékař-upír jako velmi čitelný morální a monstrózní archetyp.,Healer / Monster / Shadow,427290,Vampyr,1.0,True,948.0
97,Banishers: Ghosts of New Eden,Red mac Raith / Antea Duarte,fixed_dual,action RPG,"Dvojice lovců duchů s tématem lásky, smrti a oběti.",Lover / Exorcist / Psychopomp,1493640,Banishers: Ghosts of New Eden,1.0,True,770.0
98,Kingdom Come: Deliverance,Henry,fixed_named_single,historical RPG,"Jasný protagonista z obyčejného původu, silný oblouk zrání.",Everyman / Apprentice / Hero,379430,Kingdom Come: Deliverance,1.0,True,358.0
99,Pentiment,Andreas Maler,fixed_named_single,narrative adventure,"Silný protagonista vzdělance, svědka, viny a historické paměti.",Artist / Witness / Seeker,1205520,Pentiment,1.0,True,19.0
