id,order,appid,game,character,protagonist_name,protagonist_role,protagonist_type,source_type,source_url,source_note,validation_status,known_status,internal_suggested_primary_archetype,internal_suggested_secondary_archetype,internal_suggested_archetype_confidence_0_1,internal_archetype_rationale,internal_archetype_source_url,total_ratings_pos_neg,bucket,batch,prompt,include_main_clean,exclude_reason,game_name,character_name,display_game,display_character,display_label,validation_prompt,name,title,description,game_included_for_display,needs_split_or_research,igdb_id,original_release_year,igdb_corpus_title,igdb_corpus_year
igdb90_1990_super-mario-world_mario,251,,Super Mario World,Mario,Mario,dinosaur-riding platform hero rescuing Princess Toadstool,fixed mascot platform protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/super-mario-world,Batch 09: 50 manually curated pre-2005 protagonists from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Hero,Explorer,0.90,Mario is framed as the active rescuer and agile traversal hero; secondary Explorer reflects level-to-level discovery.,https://www.igdb.com/games/super-mario-world,,igdb_pre2005_key_games,09_pre2005_50,Which archetypes best describe Mario in Super Mario World (1990)?,True,,Super Mario World,Mario,Super Mario World (1990),Mario,Mario — Super Mario World (1990),Which archetypes best describe Mario in Super Mario World (1990)?,Mario,Mario,Super Mario World (1990): dinosaur-riding platform hero rescuing Princess Toadstool,True,False,1070,1990,Super Mario World,1990
igdb90_1990_the-secret-of-monkey-island_guybrush-threepwood,252,,The Secret of Monkey Island,Guybrush Threepwood,Guybrush Threepwood,aspiring pirate and comic adventure protagonist,fixed comic adventure protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/the-secret-of-monkey-island,Batch 09: 50 manually curated pre-2005 protagonists from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Jester,Explorer,0.90,Guybrush is primarily a comic trickster/aspirant; the pirate-adventure structure adds Explorer.,https://www.igdb.com/games/the-secret-of-monkey-island,,igdb_pre2005_key_games,09_pre2005_50,Which archetypes best describe Guybrush Threepwood in The Secret of Monkey Island (1990)?,True,,The Secret of Monkey Island,Guybrush Threepwood,The Secret of Monkey Island (1990),Guybrush Threepwood,Guybrush Threepwood — The Secret of Monkey Island (1990),Which archetypes best describe Guybrush Threepwood in The Secret of Monkey Island (1990)?,Guybrush Threepwood,Guybrush Threepwood,The Secret of Monkey Island (1990): aspiring pirate and comic adventure protagonist,True,False,60,1990,The Secret of Monkey Island,1990
igdb90_1990_loom_bobbin-threadbare,253,,Loom,Bobbin Threadbare,Bobbin Threadbare,young weaver using magical drafts to alter the world,fixed adventure protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/loom,Batch 09: 50 manually curated pre-2005 protagonists from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Magician,Innocent,0.80,Bobbin’s defining verb is magical transformation through weaving; his sheltered origin supports Innocent.,https://www.igdb.com/games/loom,,igdb_pre2005_key_games,09_pre2005_50,Which archetypes best describe Bobbin Threadbare in Loom (1990)?,True,,Loom,Bobbin Threadbare,Loom (1990),Bobbin Threadbare,Bobbin Threadbare — Loom (1990),Which archetypes best describe Bobbin Threadbare in Loom (1990)?,Bobbin Threadbare,Bobbin Threadbare,Loom (1990): young weaver using magical drafts to alter the world,True,False,191,1990,Loom,1990
igdb90_1991_sonic-the-hedgehog_sonic-the-hedgehog,254,,Sonic the Hedgehog,Sonic the Hedgehog,Sonic the Hedgehog,speed-driven mascot hero resisting Dr. Robotnik,fixed mascot platform protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/sonic-the-hedgehog,Batch 09: 50 manually curated pre-2005 protagonists from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Explorer,Rebel,0.85,"Sonic is defined by freedom, speed, movement, and opposition to mechanized control.",https://www.igdb.com/games/sonic-the-hedgehog,,igdb_pre2005_key_games,09_pre2005_50,Which archetypes best describe Sonic the Hedgehog in Sonic the Hedgehog (1991)?,True,,Sonic the Hedgehog,Sonic the Hedgehog,Sonic the Hedgehog (1991),Sonic the Hedgehog,Sonic the Hedgehog — Sonic the Hedgehog (1991),Which archetypes best describe Sonic the Hedgehog in Sonic the Hedgehog (1991)?,Sonic the Hedgehog,Sonic the Hedgehog,Sonic the Hedgehog (1991): speed-driven mascot hero resisting Dr. Robotnik,True,False,3192,1991,Sonic the Hedgehog,1991
igdb90_1991_the-legend-of-zelda-a-link-to-the-past_link,255,,The Legend of Zelda: A Link to the Past,Link,Link,young hero drawn into a mythic rescue quest,silent/projective adventure protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/the-legend-of-zelda-a-link-to-the-past,Batch 09: 50 manually curated pre-2005 protagonists from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Hero,Innocent,0.90,Link is the mythic rescuer; the silent youthful framing preserves Innocent/projective qualities.,https://www.igdb.com/games/the-legend-of-zelda-a-link-to-the-past,,igdb_pre2005_key_games,09_pre2005_50,Which archetypes best describe Link in The Legend of Zelda: A Link to the Past (1991)?,True,,The Legend of Zelda: A Link to the Past,Link,The Legend of Zelda: A Link to the Past (1991),Link,Link — The Legend of Zelda: A Link to the Past (1991),Which archetypes best describe Link in The Legend of Zelda: A Link to the Past (1991)?,Link,Link,The Legend of Zelda: A Link to the Past (1991): young hero drawn into a mythic rescue quest,True,False,1026,1991,The Legend of Zelda: A Link to the Past,1991
igdb90_1992_wolfenstein-3d_b-j-blazkowicz,256,,Wolfenstein 3D,B. J. Blazkowicz,B. J. Blazkowicz,Allied spy escaping and fighting Nazi forces,fixed shooter protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/wolfenstein-3d--1,Batch 09: 50 manually curated pre-2005 protagonists from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Hero,Rebel,0.90,Blazkowicz is structurally a direct-action hero opposing an authoritarian enemy order.,https://www.igdb.com/games/wolfenstein-3d--1,,igdb_pre2005_key_games,09_pre2005_50,Which archetypes best describe B. J. Blazkowicz in Wolfenstein 3D (1992)?,True,,Wolfenstein 3D,B. J. Blazkowicz,Wolfenstein 3D (1992),B. J. Blazkowicz,B. J. Blazkowicz — Wolfenstein 3D (1992),Which archetypes best describe B. J. Blazkowicz in Wolfenstein 3D (1992)?,B. J. Blazkowicz,B. J. Blazkowicz,Wolfenstein 3D (1992): Allied spy escaping and fighting Nazi forces,True,False,262516,1992,Wolfenstein 3D,1992
igdb90_1992_alone-in-the-dark_edward-carnby-emily-hartwood,257,,Alone in the Dark,Edward Carnby / Emily Hartwood,Edward Carnby / Emily Hartwood,investigator/survivor trapped in a haunted mansion,choice of fixed survival-horror protagonists,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/alone-in-the-dark,Batch 09: 50 manually curated pre-2005 protagonists from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Sage,Everyman,0.75,The playable role is investigatory survival rather than power fantasy; two selectable protagonists complicate coding.,https://www.igdb.com/games/alone-in-the-dark,,igdb_pre2005_key_games,09_pre2005_50,Which archetypes best describe Edward Carnby / Emily Hartwood in Alone in the Dark (1992)?,True,,Alone in the Dark,Edward Carnby / Emily Hartwood,Alone in the Dark (1992),Edward Carnby / Emily Hartwood,Edward Carnby / Emily Hartwood — Alone in the Dark (1992),Which archetypes best describe Edward Carnby / Emily Hartwood in Alone in the Dark (1992)?,Edward Carnby / Emily Hartwood,Edward Carnby / Emily Hartwood,Alone in the Dark (1992): investigator/survivor trapped in a haunted mansion,True,False,1956,1992,Alone in the Dark,1992
igdb90_1992_indiana-jones-and-the-fate-of-atlantis_indiana-jones,258,,Indiana Jones and the Fate of Atlantis,Indiana Jones,Indiana Jones,archaeologist-adventurer pursuing Atlantis,fixed adventure protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/indiana-jones-and-the-fate-of-atlantis--1,Batch 09: 50 manually curated pre-2005 protagonists from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Explorer,Sage,0.90,Indy is a paradigmatic explorer whose action is anchored in archaeological knowledge.,https://www.igdb.com/games/indiana-jones-and-the-fate-of-atlantis--1,,igdb_pre2005_key_games,09_pre2005_50,Which archetypes best describe Indiana Jones in Indiana Jones and the Fate of Atlantis (1992)?,True,,Indiana Jones and the Fate of Atlantis,Indiana Jones,Indiana Jones and the Fate of Atlantis (1992),Indiana Jones,Indiana Jones — Indiana Jones and the Fate of Atlantis (1992),Which archetypes best describe Indiana Jones in Indiana Jones and the Fate of Atlantis (1992)?,Indiana Jones,Indiana Jones,Indiana Jones and the Fate of Atlantis (1992): archaeologist-adventurer pursuing Atlantis,True,False,184,1992,Indiana Jones and the Fate of Atlantis,1992
igdb90_1993_myst_the-stranger,259,,Myst,The Stranger,The Stranger,unnamed visitor solving the mystery of linked Ages,silent/projective puzzle protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/myst,Batch 09: 50 manually curated pre-2005 protagonists from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Sage,Explorer,0.80,"The Stranger is defined by investigation, reading, puzzle interpretation, and exploration of worlds.",https://www.igdb.com/games/myst,,igdb_pre2005_key_games,09_pre2005_50,Which archetypes best describe The Stranger in Myst (1993)?,True,,Myst,The Stranger,Myst (1993),The Stranger,The Stranger — Myst (1993),Which archetypes best describe The Stranger in Myst (1993)?,The Stranger,The Stranger,Myst (1993): unnamed visitor solving the mystery of linked Ages,True,False,236,1993,Myst,1993
igdb90_1993_doom_doomguy,260,,Doom,Doomguy,Doomguy,space marine fighting demons on Mars and Hell,fixed/silent shooter protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/doom,Batch 09: 50 manually curated pre-2005 protagonists from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Hero,Rebel,0.85,Doomguy is an iconic combat hero whose agency is expressed through direct violent resistance.,https://www.igdb.com/games/doom,,igdb_pre2005_key_games,09_pre2005_50,Which archetypes best describe Doomguy in Doom (1993)?,True,,Doom,Doomguy,Doom (1993),Doomguy,Doomguy — Doom (1993),Which archetypes best describe Doomguy in Doom (1993)?,Doomguy,Doomguy,Doom (1993): space marine fighting demons on Mars and Hell,True,False,673,1993,Doom,1993
