appid,name,has_clear_main_protagonist,protagonist_name,protagonist_type,protagonist_confidence_0_3,primary_archetype,secondary_archetype,tertiary_archetype,archetype_confidence_0_3,archetype_suitability_0_3,shadow_load_0_3,player_projection_0_3,narrative_complexity_0_3,suggested_include_in_final_corpus,exclusion_reason,needs_manual_review,evidence_basis,protagonist_notes,archetype_notes,reason_short,custom_id
1091500,Cyberpunk 2077,yes,V,customizable_but_defined,3,Shadow/Antihero,Explorer/Seeker,Rebel/Outlaw,2,3,2,3,3,yes,none,False,control_seed,Player-defined mercenary with fixed role and story.,Core identity is a street mercenary/outlaw navigating a corrupt world; strong seeker and antihero elements.,"Clear customizable lead, strongly story-driven.",steam-v003-chunk-00001-rows-1-50
292030,The Witcher 3: Wild Hunt,yes,Geralt of Rivia,fixed_named_single,3,Shadow/Antihero,Hero/Warrior,Explorer/Seeker,3,3,2,1,3,yes,none,False,control_seed,Geralt is the fixed main character.,"Monster hunter with morally gray, hardened disposition; also a capable protector and questing seeker.",Fixed protagonist with strong antihero profile.,steam-v003-chunk-00001-rows-1-50
1174180,Red Dead Redemption 2,yes,Arthur Morgan,fixed_named_single,3,Shadow/Antihero,Hero/Warrior,Explorer/Seeker,3,3,3,1,3,yes,none,False,control_seed,Arthur Morgan is the central playable lead.,"Outlaw with violent, morally conflicted arc; warrior and seeker elements emerge through the story.","Clear protagonist, strong antihero tragedy.",steam-v003-chunk-00001-rows-1-50
620,Portal 2,yes,Chell,silent_fixed_protagonist,3,Explorer/Seeker,Everyman/Orphan,Hero/Warrior,2,3,0,2,2,yes,none,False,control_seed,Chell is the silent protagonist.,"Driven by escape and discovery through test chambers; ordinary, resilient outsider with minimal characterization.","Silent fixed lead, strong seeker frame.",steam-v003-chunk-00001-rows-1-50
367520,Hollow Knight,yes,The Knight,nonhuman_fixed_protagonist,3,Explorer/Seeker,Hero/Warrior,Innocent,2,3,1,2,2,yes,none,False,control_seed,The Knight is the fixed playable figure.,"A quiet wanderer uncovering the ruins of Hallownest; can be read as small, pure, and heroic but mainly seeker-like.","Clear nonhuman protagonist, questing focus.",steam-v003-chunk-00001-rows-1-50
1145360,Hades,yes,Zagreus,fixed_named_single,3,Rebel/Outlaw,Explorer/Seeker,Hero/Warrior,2,3,1,2,3,yes,none,False,control_seed,Zagreus is the fixed protagonist.,Defies the underworld's order to escape and discover his origins; also a combat-focused hero.,"Fixed lead with rebellious, questing arc.",steam-v003-chunk-00001-rows-1-50
391540,Undertale,yes,Frisk,silent_fixed_protagonist,3,Innocent,Explorer/Seeker,Everyman/Orphan,2,3,0,3,2,yes,none,False,control_seed,Frisk is the silent child protagonist.,"Childlike, open-ended figure moving through a strange world; innocence is central, with seeker and outsider angles.","Clear protagonist, strong innocence projection.",steam-v003-chunk-00001-rows-1-50
203160,Tomb Raider Game of the Year,yes,Lara Croft,fixed_named_single,3,Explorer/Seeker,Hero/Warrior,Sage/Investigator,3,3,1,1,2,yes,none,False,control_seed,Lara Croft is the fixed lead.,Archaeological adventurer driven by survival and discovery; also physically heroic and investigative.,Classic explorer-adventurer protagonist.,steam-v003-chunk-00001-rows-1-50
220,Half-Life 2,yes,Gordon Freeman,silent_fixed_protagonist,3,Hero/Warrior,Explorer/Seeker,Everyman/Orphan,2,3,0,2,2,yes,none,False,control_seed,Gordon Freeman is the silent protagonist.,Reluctant savior thrust into resistance and survival; more symbol than voiced character.,Clear silent hero figure.,steam-v003-chunk-00001-rows-1-50
268910,Cuphead,yes,Cuphead,fixed_dual,3,Jester/Trickster,Hero/Warrior,Rebel/Outlaw,1,2,0,1,1,yes,none,False,control_seed,Shared fixed lead with Mugman; Cuphead used here as the named headliner.,"Playful, mischievous cartoon outlaw energy dominates more than deep characterization.",Clear but light characterization.,steam-v003-chunk-00001-rows-1-50
