control_id,steam_search_title,protagonist,protagonist_clarity,broad_bucket,why_useful_for_archetype_control,preliminary_archetype_seed_note,matched_appid,matched_name,match_score,total_ratings_pos_neg,positive_ratio
1,The Witcher 3: Wild Hunt,Geralt of Rivia,fixed_named_single,RPG / action RPG,"Silně definovaný hrdina s dlouhou kontinuitou, morálními volbami a jasnou osobností.",Wanderer / Warrior / Caregiver tension,292030,The Witcher 3: Wild Hunt,1.0,835349,0.9612664886173324
2,The Witcher 2: Assassins of Kings Enhanced Edition,Geralt of Rivia,fixed_named_single,RPG / action RPG,Stejný protagonista jako kontrola napříč sérií a odlišnými volbami.,Wanderer / Warrior,20920,The Witcher 2: Assassins of Kings Enhanced Edition,1.0,87064,0.8953183864743177
3,Cyberpunk 2077,V,customizable_but_strong_role,RPG / action RPG,"Avatar je upravitelný, ale má silný dramatický oblouk, vztah k Johnnymu a jasný konflikt identity.",Rebel / Seeker / Shadow,1091500,Cyberpunk 2077,1.0,844921,0.843949907742854
4,Disco Elysium - The Final Cut,Harrier Du Bois,fixed_named_single,narrative RPG,"Extrémně silně charakterizovaný protagonista, vhodný pro archetypy stínu, rozpadu a obnovy.",Wounded detective / Fool / Shadow,632470,Disco Elysium - The Final Cut,1.0,111712,0.9310548553423088
5,Planescape: Torment,The Nameless One,fixed_named_single,narrative RPG,"Jedna z nejsilnějších herních postav pro archetyp paměti, viny a identity.",Wanderer / Shadow / Seeker,466300,Planescape: Torment: Enhanced Edition,1.0,4958,0.9473578055667607
6,Torment: Tides of Numenera,The Last Castoff,fixed_role_single,narrative RPG,"Jasně definovaná role potomka/odvržené inkarnace, vhodná pro archetyp identity.",Orphan / Seeker,272270,Torment: Tides of Numenera,1.0,4253,0.7037385375029391
7,Mass Effect Legendary Edition,Commander Shepard,customizable_but_strong_role,RPG / sci-fi,"Upravitelná postava, ale jednoznačný vůdcovský protagonista napříč trilogií.",Hero / Ruler / Protector,1328670,Mass Effect Legendary Edition,1.0,56328,0.9106483454054822
8,Mass Effect 2,Commander Shepard,customizable_but_strong_role,RPG / sci-fi,"Dobrá kontrola pro samostatný díl se silným tématem smrti, návratu a loajality.",Returned hero / Leader,17460,Mass Effect (2007),0.896551724137931,16434,0.9367165632225872
9,Mass Effect Andromeda,Ryder,customizable_but_strong_role,RPG / sci-fi,"Jasná hlavní role průzkumníka a nástupce, i přes editovatelnou identitu.",Explorer / Heir,1238000,Mass Effect: Andromeda Deluxe Edition,0.8571428571428571,16576,0.7446911196911197
10,Dragon Age II,Hawke,customizable_but_named,RPG / fantasy,"Na rozdíl od mnoha RPG má protagonista pevné jméno, rodinný příběh a městský vzestup/pád.",Survivor / Outsider,1238040,Dragon Age II: Ultimate Edition,1.0,6537,0.8124521951965733
11,Deus Ex: Game of the Year Edition,JC Denton,fixed_named_single,immersive sim,"Ikonický protagonista konspirace, transhumanismu a volby mezi systémy.",Seeker / Rebel / Messiah,6910,Deus Ex: Game of the Year Edition,1.0,14552,0.9483919736118748
12,Deus Ex: Human Revolution - Director's Cut,Adam Jensen,fixed_named_single,immersive sim,Silný archetyp augmentovaného člověka a konfliktní identity.,Wounded warrior / Cyborg / Seeker,238010,Deus Ex: Human Revolution - Director's Cut,1.0,28125,0.9212088888888889
13,Deus Ex: Mankind Divided,Adam Jensen,fixed_named_single,immersive sim,Pokračující kontrola stejné postavy v odlišném sociálním konfliktu.,Outcast / Investigator,337000,Deus Ex: Mankind Divided,1.0,40850,0.7597796817625458
14,Prey,Morgan Yu,customizable_but_strong_role,immersive sim,"Jasně ukotvený protagonista s tématem paměti, experimentu a identity.",Scientist / Seeker / Shadow,480490,Prey,1.0,51033,0.9088432974741834
15,Dishonored,Corvo Attano,fixed_named_single,immersive sim / stealth,Pomstychtivý ochránce a padlý královský strážce s výrazným morálním rozpětím.,Avenger / Guardian,205100,Dishonored,1.0,82370,0.9764113147990772
16,Dishonored 2,Emily Kaldwin / Corvo Attano,fixed_dual,immersive sim / stealth,"Dva jasní protagonisté, oba s královskou a mstivou linkou.",Ruler / Avenger,403640,Dishonored 2,1.0,62782,0.894444267465197
17,Deathloop,Colt Vahn,fixed_named_single,immersive sim / action,"Silný protagonista smyčky, zapomnění a vzpoury proti systému.",Rebel / Trickster,1252330,DEATHLOOP,1.0,29205,0.7637733264851909
18,BioShock,Jack,fixed_named_single,narrative FPS,Jasný protagonista s twistem identity a svobodné vůle.,Pawn / Rebel / Orphan,409710,BioShock Remastered,1.0,58263,0.8231982561831694
19,BioShock 2,Subject Delta,fixed_role_single,narrative FPS,"Vhodné pro archetyp ochránce, rodičovství a monstrózního těla.",Protector / Monster,409720,BioShock 2 Remastered,1.0,26622,0.7084366313575239
20,BioShock Infinite,Booker DeWitt,fixed_named_single,narrative FPS,"Silný protagonista viny, násilí, dluhu a identity.",Fallen hero / Father / Shadow,8870,BioShock Infinite,1.0,140682,0.93807310103638
21,Half-Life,Gordon Freeman,fixed_named_single_silent,FPS,"Tichý, ale jasně identifikovatelný protagonista s výraznou kulturní ikonografií.",Scientist / Accidental hero,70,Half-Life,1.0,148221,0.9653557862920908
22,Half-Life 2,Gordon Freeman,fixed_named_single_silent,FPS,Kontrola tichého protagonisty v mesiášské roli odporu.,Savior / Silent hero,220,Half-Life 2,1.0,245627,0.9759554120678916
