control_id,steam_search_title,protagonist,protagonist_clarity,broad_bucket,why_useful_for_archetype_control,preliminary_archetype_seed_note,matched_appid,matched_name,match_score,in_refined_v2,refined_v2_rank
3,Cyberpunk 2077,V,customizable_but_strong_role,RPG / action RPG,"Avatar je upravitelný, ale má silný dramatický oblouk, vztah k Johnnymu a jasný konflikt identity.",Rebel / Seeker / Shadow,1091500,Cyberpunk 2077,1.0,False,
11,Deus Ex: Game of the Year Edition,JC Denton,fixed_named_single,immersive sim,"Ikonický protagonista konspirace, transhumanismu a volby mezi systémy.",Seeker / Rebel / Messiah,6910,Deus Ex: Game of the Year Edition,1.0,False,
12,Deus Ex: Human Revolution - Director's Cut,Adam Jensen,fixed_named_single,immersive sim,Silný archetyp augmentovaného člověka a konfliktní identity.,Wounded warrior / Cyborg / Seeker,238010,Deus Ex: Human Revolution - Director's Cut,1.0,False,
13,Deus Ex: Mankind Divided,Adam Jensen,fixed_named_single,immersive sim,Pokračující kontrola stejné postavy v odlišném sociálním konfliktu.,Outcast / Investigator,337000,Deus Ex: Mankind Divided,1.0,False,
14,Prey,Morgan Yu,customizable_but_strong_role,immersive sim,"Jasně ukotvený protagonista s tématem paměti, experimentu a identity.",Scientist / Seeker / Shadow,480490,Prey,1.0,False,
16,Dishonored 2,Emily Kaldwin / Corvo Attano,fixed_dual,immersive sim / stealth,"Dva jasní protagonisté, oba s královskou a mstivou linkou.",Ruler / Avenger,403640,Dishonored 2,1.0,False,
17,Deathloop,Colt Vahn,fixed_named_single,immersive sim / action,"Silný protagonista smyčky, zapomnění a vzpoury proti systému.",Rebel / Trickster,1252330,DEATHLOOP,1.0,False,
19,BioShock 2,Subject Delta,fixed_role_single,narrative FPS,"Vhodné pro archetyp ochránce, rodičovství a monstrózního těla.",Protector / Monster,409720,BioShock 2 Remastered,1.0,False,
20,BioShock Infinite,Booker DeWitt,fixed_named_single,narrative FPS,"Silný protagonista viny, násilí, dluhu a identity.",Fallen hero / Father / Shadow,8870,BioShock Infinite,1.0,False,
21,Half-Life,Gordon Freeman,fixed_named_single_silent,FPS,"Tichý, ale jasně identifikovatelný protagonista s výraznou kulturní ikonografií.",Scientist / Accidental hero,70,Half-Life,1.0,False,
22,Half-Life 2,Gordon Freeman,fixed_named_single_silent,FPS,Kontrola tichého protagonisty v mesiášské roli odporu.,Savior / Silent hero,220,Half-Life 2,1.0,False,
23,Portal,Chell,fixed_named_single_silent,puzzle / sci-fi,"Jasná protagonistka, i když tichá; užitečná kontrola pro minimálně verbalizovanou postavu.",Survivor / Trickster,400,Portal,1.0,False,
24,Portal 2,Chell,fixed_named_single_silent,puzzle / sci-fi,Stejná postava ve výraznější vztahové a komické struktuře.,Survivor / Rebel,620,Portal 2,1.0,False,
25,Control Ultimate Edition,Jesse Faden,fixed_named_single,action adventure,"Velmi jasná protagonistka se silnou linkou hledání bratra, moci a instituce.",Seeker / Witch / Ruler,870780,CONTROL Ultimate Edition,1.0,False,
26,Alan Wake,Alan Wake,fixed_named_single,psychological thriller,Spisovatel jako protagonista hororové sebeprojekce a příběhové reality.,Creator / Shadow,108710,Alan Wake,1.0,False,
28,Max Payne,Max Payne,fixed_named_single,noir action,Extrémně jasný noir antihrdina s tématem ztráty a pomsty.,Avenger / Wounded hero,12140,Max Payne,1.0,False,
30,Max Payne 3,Max Payne,fixed_named_single,noir action,"Starší, vyhořelá varianta stejného protagonisty vhodná pro proměnu archetypu.",Fallen guardian / Exile,204100,Max Payne 3,1.0,False,
31,Tomb Raider,Lara Croft,fixed_named_single,action adventure,Moderní origin story archetypu přeživší dobrodružky.,Explorer / Survivor,203160,Tomb Raider Game of the Year,0.5641025641025641,False,
32,Rise of the Tomb Raider,Lara Croft,fixed_named_single,action adventure,Stejná protagonistka ve fázi posedlosti a dědictví.,Explorer / Seeker,391220,Rise of the Tomb Raider,1.0,False,
33,Shadow of the Tomb Raider,Lara Croft,fixed_named_single,action adventure,Kontrola pro temnější podobu archetypu průzkumníka a ničivých následků.,Explorer / Shadow,750920,Shadow of the Tomb Raider: Definitive Edition,1.0,False,
34,Horizon Zero Dawn Complete Edition,Aloy,fixed_named_single,open-world action RPG,"Silně definovaná hrdinka hledající původ, identitu a místo ve světě.",Seeker / Hero / Outsider,1151640,Horizon Zero Dawn Complete Edition,1.0,False,
